Russian,English,icon_url,license_description,attribution
люди,people,https://static.thenounproject.com/png/2300-200.png,creative-commons-attribution,people by Roman J. Sokolov from Noun Project
человек,"person, man, human being, people",https://static.thenounproject.com/png/2231-200.png,creative-commons-attribution,person by Antonis Makriyannis from Noun Project
год,year,https://static.thenounproject.com/png/247259-200.png,creative-commons-attribution,year by Rohit Arun Rao from Noun Project
время,time,https://static.thenounproject.com/png/6731-200.png,creative-commons-attribution,Time by Richard de Vos from Noun Project
рука,"hand, arm",https://static.thenounproject.com/png/1260-200.png,creative-commons-attribution,Hand by Ugur Akdemir from Noun Project
дело,"matter, business, thing, affair",https://static.thenounproject.com/png/1821975-200.png,creative-commons-attribution,matter by Andrejs Kirma from Noun Project
раз,"time, occurrence, one (counting)",https://static.thenounproject.com/png/6731-200.png,creative-commons-attribution,Time by Richard de Vos from Noun Project
жизнь,life,https://static.thenounproject.com/png/84835-200.png,creative-commons-attribution,life by Alex Fuller from Noun Project
день,"day, afternoon",https://static.thenounproject.com/png/29099-200.png,creative-commons-attribution,day by Maurizio Fusillo from Noun Project
голова,head,https://static.thenounproject.com/png/19401-200.png,creative-commons-attribution,Head by Yorlmar Campos from Noun Project
друг,"friend, boyfriend",https://static.thenounproject.com/png/5332-200.png,creative-commons-attribution,Friend by Oleg Frolov from Noun Project
дом,"house, apartment building",https://static.thenounproject.com/png/1309-200.png,creative-commons-attribution,House by John Caserta from Noun Project
слово,word,https://static.thenounproject.com/png/95000-200.png,creative-commons-attribution,word by Richard Schumann from Noun Project
место,place,https://static.thenounproject.com/png/342346-200.png,creative-commons-attribution,place by S Madsen from Noun Project
лицо,"face, character",https://static.thenounproject.com/png/5186-200.png,creative-commons-attribution,Face by Mike Rowe from Noun Project
сторона,"side, direction",https://static.thenounproject.com/png/192127-200.png,creative-commons-attribution,side by Magicon from Noun Project
нога,"foot, leg",https://static.thenounproject.com/png/67773-200.png,creative-commons-attribution,foot by iconsmind.com from Noun Project
дверь,door,https://static.thenounproject.com/png/2182-200.png,creative-commons-attribution,Door by Anas Ramadan from Noun Project
работа,"work, paper",https://static.thenounproject.com/png/19157-200.png,creative-commons-attribution,Work by Ainsley Wagoner from Noun Project
земля,"ground, land, earth, Earth",https://static.thenounproject.com/png/120959-200.png,creative-commons-attribution,ground by Arthur Shlain from Noun Project
конец,"end, finish",https://static.thenounproject.com/png/30973-200.png,creative-commons-attribution,end by Tori Holtel from Noun Project
час,"hour, watch, clock (pl)",https://static.thenounproject.com/png/487231-200.png,creative-commons-attribution,hour by Yuri Mazursky from Noun Project
голос,voice,https://static.thenounproject.com/png/27287-200.png,creative-commons-attribution,voice by Anton Håkanson from Noun Project
город,"city, town",https://static.thenounproject.com/png/1566-200.png,creative-commons-attribution,City by Thibault Geffroy from Noun Project
вода,water,https://static.thenounproject.com/png/163-200.png,creative-commons-attribution,Water by Edward Boatman from Noun Project
стол,table,https://static.thenounproject.com/png/1392-200.png,creative-commons-attribution,Table by Sofie Hauge Katan from Noun Project
отец,father,https://static.thenounproject.com/png/12434-200.png,creative-commons-attribution,father by Sebastian Langer from Noun Project
случай,"happening, event, occurrence, incident",https://static.thenounproject.com/png/192880-200.png,creative-commons-attribution,bugle by Robert Bjurshagen from Noun Project
ночь,night,https://static.thenounproject.com/png/38522-200.png,creative-commons-attribution,Night by Ahmed Elzahra from Noun Project
вид,"kind, type, sort, view, aspect",https://static.thenounproject.com/png/640349-200.png,creative-commons-attribution,kind by Ker'is from Noun Project
ряд,"row, line, series",https://static.thenounproject.com/png/380698-200.png,creative-commons-attribution,row by Samy Menai from Noun Project
начало,"beginning, start",https://static.thenounproject.com/png/2349281-200.png,creative-commons-attribution,beginning by Thomas Le Bas from Noun Project
вопрос,question,https://static.thenounproject.com/png/2036-200.png,creative-commons-attribution,Question by Henry Ryder from Noun Project
война,war,https://static.thenounproject.com/png/332702-200.png,creative-commons-attribution,War by nayeli zimmermann from Noun Project
минута,minute,https://static.thenounproject.com/png/1617810-200.png,creative-commons-attribution,minute by sofi from Noun Project
жена,wife,https://static.thenounproject.com/png/1194956-200.png,creative-commons-attribution,wife by Egon Låstad from Noun Project
правда,"truth, true, really",https://static.thenounproject.com/png/398697-200.png,creative-commons-attribution,truth by Mike Rowe from Noun Project
страна,country,https://static.thenounproject.com/png/402063-200.png,creative-commons-attribution,country by Yu luck from Noun Project
свет,"light, world, (high) society",https://static.thenounproject.com/png/43019-200.png,creative-commons-attribution,Light by Husein Aziz from Noun Project
мать,mother,https://static.thenounproject.com/png/8658-200.png,creative-commons-attribution,mother by Shreya Chakravarty from Noun Project
дорога,"road, street, way (very general)",https://static.thenounproject.com/png/2203-200.png,creative-commons-attribution,Road by Chris Thoburn from Noun Project
комната,room,https://static.thenounproject.com/png/17576-200.png,creative-commons-attribution,room by Tiago Dos Reis Rodrigues from Noun Project
Москва,Moscow,https://static.thenounproject.com/png/40666-200.png,creative-commons-attribution,Moscow by Fabien Jouin from Noun Project
часть,part,https://static.thenounproject.com/png/258206-200.png,creative-commons-attribution,part by luimonts from Noun Project
улица,street,https://static.thenounproject.com/png/35613-200.png,creative-commons-attribution,street by Mister Pixel from Noun Project
душа,soul,https://static.thenounproject.com/png/1668993-200.png,creative-commons-attribution,soul by Yaroslav Samoilov from Noun Project
утро,morning,https://static.thenounproject.com/png/84830-200.png,creative-commons-attribution,Morning by Alex Fuller from Noun Project
вечер,"evening, party, soiree (more formal)",https://static.thenounproject.com/png/328345-200.png,creative-commons-attribution,Evening by Creative Stall from Noun Project
пол,"floor, sex (male/female), half",https://static.thenounproject.com/png/51470-200.png,creative-commons-attribution,Floor by mara julieta G. from Noun Project
народ,"people, nation",https://static.thenounproject.com/png/2300-200.png,creative-commons-attribution,people by Roman J. Sokolov from Noun Project
бог,"God, god|gods",https://static.thenounproject.com/png/1022035-200.png,creative-commons-attribution,god by Brandon Shields from Noun Project
Россия,Russia,https://static.thenounproject.com/png/2645-200.png,creative-commons-attribution,russia by Sergey Bakin from Noun Project
история,"story, history",https://static.thenounproject.com/png/486925-200.png,creative-commons-attribution,Story by James Taylorson from Noun Project
сын,son,https://static.thenounproject.com/png/59787-200.png,creative-commons-attribution,son by Snehal Patil from Noun Project
лес,"forest, woods",https://static.thenounproject.com/png/27297-200.png,creative-commons-attribution,forest by Juan Pablo Bravo from Noun Project
имя,"name, first name (of person, pet)",https://static.thenounproject.com/png/1736321-200.png,creative-commons-attribution,name by Xela Ub from Noun Project
разговор,conversation,https://static.thenounproject.com/png/1680-200.png,creative-commons-attribution,Conversation by Anna Weiss from Noun Project
тело,body,https://static.thenounproject.com/png/29832-200.png,creative-commons-attribution,body by Dan Hetteix from Noun Project
стена,wall,https://static.thenounproject.com/png/62119-200.png,creative-commons-attribution,wall by Sergey Krivoy from Noun Project
право,right,https://static.thenounproject.com/png/5380-200.png,creative-commons-attribution,right by Desbenoit from Noun Project
старик,old man,https://static.thenounproject.com/png/22860-200.png,creative-commons-attribution,old man by Anushay Qureshi from Noun Project
мама,"mom, mama, mommy, mum, mummy",https://static.thenounproject.com/png/63384-200.png,creative-commons-attribution,Mom by Tomek Wołoszyn from Noun Project
путь,"path, way",https://static.thenounproject.com/png/26066-200.png,creative-commons-attribution,path by Gerardo Martín Martínez from Noun Project
месяц,month,https://static.thenounproject.com/png/247254-200.png,creative-commons-attribution,month by Rohit Arun Rao from Noun Project
спина,back,https://static.thenounproject.com/png/8301-200.png,creative-commons-attribution,back by John Chapman from Noun Project
язык,"language, tongue",https://static.thenounproject.com/png/44527-200.png,creative-commons-attribution,Language by Claire Jones from Noun Project
мальчик,"boy, little boy",https://static.thenounproject.com/png/5190-200.png,creative-commons-attribution,boy by Mike Rowe from Noun Project
небо,"sky, heaven, the heavens",https://static.thenounproject.com/png/217495-200.png,creative-commons-attribution,sky by P Thanga Vignesh from Noun Project
образ,"shape, form, image, manner",https://static.thenounproject.com/png/200922-200.png,creative-commons-attribution,shape by Patrick Trouvé from Noun Project
письмо,letter,https://static.thenounproject.com/png/1209-200.png,creative-commons-attribution,Letter by Tom Schott from Noun Project
брат,brother,https://static.thenounproject.com/png/657173-200.png,creative-commons-attribution,brother by Gan Khoon Lay from Noun Project
система,system,https://static.thenounproject.com/png/303244-200.png,creative-commons-attribution,system by Paweł Wypych from Noun Project
квартира,apartment,https://static.thenounproject.com/png/2980-200.png,creative-commons-attribution,Apartment by Adam Iscrupe from Noun Project
хозяин,"owner, landlord, host",https://static.thenounproject.com/png/545538-200.png,creative-commons-attribution,owner by Doub.co from Noun Project
парень,"boyfriend, guy, young fellow",https://static.thenounproject.com/png/20366-200.png,creative-commons-attribution,boyfriend by Cindy Hu from Noun Project
неделя,week,https://static.thenounproject.com/png/247256-200.png,creative-commons-attribution,week by Rohit Arun Rao from Noun Project
нос,nose,https://static.thenounproject.com/png/10826-200.png,creative-commons-attribution,nose by Rachel Healey from Noun Project
внимание,attention,https://static.thenounproject.com/png/55319-200.png,creative-commons-attribution,attention by Vicons Design from Noun Project
чувство,"feeling, sense",https://static.thenounproject.com/png/545660-200.png,creative-commons-attribution,feeling by Dairy Free Design from Noun Project
семья,family,https://static.thenounproject.com/png/8199-200.png,creative-commons-attribution,Family by Jens Tärning from Noun Project
момент,moment,https://static.thenounproject.com/png/2700515-200.png,creative-commons-attribution,moment by Allen Wang from Noun Project
муж,husband,https://static.thenounproject.com/png/1194955-200.png,creative-commons-attribution,husband by Egon Låstad from Noun Project
порядок,"order, sequence",https://static.thenounproject.com/png/42853-200.png,creative-commons-attribution,order by Alex from Noun Project
газета,newspaper,https://static.thenounproject.com/png/397-200.png,creative-commons-attribution,Newspaper by Edward Boatman from Noun Project
помощь,help,https://static.thenounproject.com/png/28806-200.png,creative-commons-attribution,help by Luis Prado from Noun Project
дерево,tree,https://static.thenounproject.com/png/173-200.png,creative-commons-attribution,Tree by Edward Boatman from Noun Project
сон,"sleep, dream (sleeping)",https://static.thenounproject.com/png/6393-200.png,creative-commons-attribution,sleep by DonBLC from Noun Project
смысл,"sense, meaning",https://static.thenounproject.com/png/12148-200.png,creative-commons-attribution,Eye by Alessandro Suraci from Noun Project
двор,"courtyard, yard",https://static.thenounproject.com/png/184299-200.png,creative-commons-attribution,courtyard by Loris Knoll from Noun Project
возможность,"opportunity, possibility, chance",https://static.thenounproject.com/png/342310-200.png,creative-commons-attribution,opportunity by S Madsen from Noun Project
угол,corner,https://static.thenounproject.com/png/51761-200.png,creative-commons-attribution,corner by Michael Senkow from Noun Project
немец,German,https://static.thenounproject.com/png/24870-200.png,creative-commons-attribution,German by Slawek Jurczyk from Noun Project
дядя,uncle,https://static.thenounproject.com/png/985453-200.png,creative-commons-attribution,uncle by DinosoftLab from Noun Project
писатель,writer,https://static.thenounproject.com/png/67421-200.png,creative-commons-attribution,writer by Yamini Ahluwalia from Noun Project
армия,army,https://static.thenounproject.com/png/199815-200.png,creative-commons-attribution,Army by MRFA from Noun Project
гость,guest,https://static.thenounproject.com/png/215159-200.png,creative-commons-attribution,guest by GeoNeo1 from Noun Project
море,sea,https://static.thenounproject.com/png/39851-200.png,creative-commons-attribution,Sea by hunotika from Noun Project
гора,mountain,https://static.thenounproject.com/png/1045-200.png,creative-commons-attribution,Mountain by Marco Acri from Noun Project
река,river,https://static.thenounproject.com/png/105294-200.png,creative-commons-attribution,river by Friedrich Santana from Noun Project
вещь,thing,https://static.thenounproject.com/png/1898098-200.png,creative-commons-attribution,thing by Path Lord from Noun Project
девочка,"young girl, little girl",https://static.thenounproject.com/png/149191-200.png,creative-commons-attribution,young girl by Mike Rowe from Noun Project
номер,"number, room (in hotel)",https://static.thenounproject.com/png/38285-200.png,creative-commons-attribution,Number by Alex Fuller from Noun Project
глава,"chapter, head (of group, figurative)",https://static.thenounproject.com/png/3549511-200.png,creative-commons-attribution,chapter by Gregor Cresnar from Noun Project
проблема,problem,https://static.thenounproject.com/png/201633-200.png,creative-commons-attribution,problem by Marie Van den Broeck from Noun Project
страх,fear,https://static.thenounproject.com/png/86004-200.png,creative-commons-attribution,fear by Aenne Brielmann from Noun Project
пара,pair,https://static.thenounproject.com/png/167507-200.png,creative-commons-attribution,pair by Derek Britton from Noun Project
государство,"state, government",https://static.thenounproject.com/png/496792-200.png,creative-commons-attribution,State by Hea Poh Lin from Noun Project
деревня,"country, countryside, village",https://static.thenounproject.com/png/402063-200.png,creative-commons-attribution,country by Yu luck from Noun Project
класс,"classroom, grade (in school)",https://static.thenounproject.com/png/37929-200.png,creative-commons-attribution,classroom by Rafael Farias Leão from Noun Project
профессор,professor,https://static.thenounproject.com/png/69736-200.png,creative-commons-attribution,professor by iconsmind.com from Noun Project
счастье,"happiness, fortune",https://static.thenounproject.com/png/6831-200.png,creative-commons-attribution,happiness by Jim Lears from Noun Project
план,plan,https://static.thenounproject.com/png/60541-200.png,creative-commons-attribution,plan by Ali Riza Saçan from Noun Project
директор,director,https://static.thenounproject.com/png/73006-200.png,creative-commons-attribution,director by iconsmind.com from Noun Project
память,memory,https://static.thenounproject.com/png/870-200.png,creative-commons-attribution,Memory by Anne-Marie Nguyen from Noun Project
результат,result,https://static.thenounproject.com/png/118982-200.png,creative-commons-attribution,result by Oriol Carbonell from Noun Project
процесс,process,https://static.thenounproject.com/png/14970-200.png,creative-commons-attribution,process by Takao Umehara from Noun Project
картина,"picture, painting",https://static.thenounproject.com/png/541-200.png,creative-commons-attribution,Picture by Edward Boatman from Noun Project
центр,"center, downtown",https://static.thenounproject.com/png/10629-200.png,creative-commons-attribution,center by Alex Fuller from Noun Project
число,"number, date",https://static.thenounproject.com/png/38285-200.png,creative-commons-attribution,Number by Alex Fuller from Noun Project
рубль,ruble,https://static.thenounproject.com/png/26895-200.png,creative-commons-attribution,ruble by Dima Lagunov from Noun Project
коридор,"hall, hallway, corridor",https://static.thenounproject.com/png/1689482-200.png,creative-commons-attribution,hall by Gregor Cresnar from Noun Project
автор,author,https://static.thenounproject.com/png/114585-200.png,creative-commons-attribution,author by N.K.Narasimhan from Noun Project
документ,"ID, papers",https://static.thenounproject.com/png/105492-200.png,creative-commons-attribution,id by Brian Dys Sahagun from Noun Project
самолет,plane,https://static.thenounproject.com/png/58819-200.png,creative-commons-attribution,Plane by NAS from Noun Project
игра,"game, play",https://static.thenounproject.com/png/258-200.png,creative-commons-attribution,Game by Edward Boatman from Noun Project
рассказ,"story, short story",https://static.thenounproject.com/png/486925-200.png,creative-commons-attribution,Story by James Taylorson from Noun Project
хлеб,bread,https://static.thenounproject.com/png/705-200.png,creative-commons-attribution,Bread by Edward Boatman from Noun Project
наука,science,https://static.thenounproject.com/png/62984-200.png,creative-commons-attribution,Science by Xinh Studio from Noun Project
кухня,"kitchen, cuisine, type of food",https://static.thenounproject.com/png/20958-200.png,creative-commons-attribution,Kitchen by Atterratio Aeternus from Noun Project
решение,"solution, decision",https://static.thenounproject.com/png/25478-200.png,creative-commons-attribution,solution by TNS from Noun Project
роман,"novel, romance",https://static.thenounproject.com/png/1352664-200.png,creative-commons-attribution,novel by Laymik from Noun Project
компания,company,https://static.thenounproject.com/png/88781-200.png,creative-commons-attribution,company by José Campos from Noun Project
метр,meter,https://static.thenounproject.com/png/22820-200.png,creative-commons-attribution,meter by Luca Trinchero from Noun Project
институт,institute,https://static.thenounproject.com/png/596853-200.png,creative-commons-attribution,institute by shashank singh from Noun Project
интерес,interest,https://static.thenounproject.com/png/229347-200.png,creative-commons-attribution,Interest by Andres Gleixner from Noun Project
половина,half,https://static.thenounproject.com/png/97969-200.png,creative-commons-attribution,half by Michael Senkow from Noun Project
идея,idea,https://static.thenounproject.com/png/762-200.png,creative-commons-attribution,Idea by Edward Boatman from Noun Project
родители,parents,https://static.thenounproject.com/png/250956-200.png,creative-commons-attribution,parents by Milinda Courey from Noun Project
чай,tea,https://static.thenounproject.com/png/1817-200.png,creative-commons-attribution,Tea by Andrew Cameron from Noun Project
магазин,store,https://static.thenounproject.com/png/3278-200.png,creative-commons-attribution,Store by Joris Hoogendoorn from Noun Project
президент,president,https://static.thenounproject.com/png/9706-200.png,creative-commons-attribution,president by Alex WaZa from Noun Project
поэт,poet,https://static.thenounproject.com/png/165916-200.png,creative-commons-attribution,poet by Carlos Dias from Noun Project
спасибо,"thanks, thank you",https://static.thenounproject.com/png/299256-200.png,creative-commons-attribution,thanks by Ariel Kotzer from Noun Project
надежда,hope,https://static.thenounproject.com/png/26346-200.png,creative-commons-attribution,hope by Leonard Ellom Quist from Noun Project
литература,literature,https://static.thenounproject.com/png/99340-200.png,creative-commons-attribution,literature by Andy Selimov from Noun Project
роль,role,https://static.thenounproject.com/png/1608168-200.png,creative-commons-attribution,role by Nithinan Tatah from Noun Project
природа,nature,https://static.thenounproject.com/png/60745-200.png,creative-commons-attribution,nature by Yi Chen from Noun Project
толпа,crowd,https://static.thenounproject.com/png/31671-200.png,creative-commons-attribution,crowd by Shane Holley from Noun Project
кресло,"armchair, chair with arms",https://static.thenounproject.com/png/60093-200.png,creative-commons-attribution,armchair by Alice Mortaro from Noun Project
секунда,second,https://static.thenounproject.com/png/2977798-200.png,creative-commons-attribution,second by Agung Cahyo s from Noun Project
сапог,boot,https://static.thenounproject.com/png/556-200.png,creative-commons-attribution,Boot by Edward Boatman from Noun Project
правило,rule,https://static.thenounproject.com/png/821818-200.png,creative-commons-attribution,rule by DinosoftLab from Noun Project
дочь,daughter,https://static.thenounproject.com/png/59791-200.png,creative-commons-attribution,daughter by Snehal Patil from Noun Project
цветок,flower,https://static.thenounproject.com/png/180-200.png,creative-commons-attribution,Flower by Edward Boatman from Noun Project
дождь,rain,https://static.thenounproject.com/png/427-200.png,creative-commons-attribution,Rain by Edward Boatman from Noun Project
этаж,"floor, story",https://static.thenounproject.com/png/51470-200.png,creative-commons-attribution,Floor by mara julieta G. from Noun Project
революция,revolution,https://static.thenounproject.com/png/854377-200.png,creative-commons-attribution,Revolution by Alina Oleynik from Noun Project
сестра,sister,https://static.thenounproject.com/png/1196777-200.png,creative-commons-attribution,sister by goyacommae from Noun Project
ситуация,situation,https://static.thenounproject.com/png/3858016-200.png,creative-commons-attribution,situation by WEBTECHOPS LLP from Noun Project
совет,"advice, counsel",https://static.thenounproject.com/png/128440-200.png,creative-commons-attribution,advice by Michael Finney from Noun Project
дурак,"fool, idiot",https://static.thenounproject.com/png/817784-200.png,creative-commons-attribution,fool by Ben Davis from Noun Project
лето,summer,https://static.thenounproject.com/png/15287-200.png,creative-commons-attribution,Summer by Paige Gilson from Noun Project
цвет,color,https://static.thenounproject.com/png/24950-200.png,creative-commons-attribution,color by Christopher T. Howlett from Noun Project
свобода,freedom,https://static.thenounproject.com/png/26343-200.png,creative-commons-attribution,freedom by Leonard Ellom Quist from Noun Project
стул,chair,https://static.thenounproject.com/png/1393-200.png,creative-commons-attribution,Chair by Sofie Hauge Katan from Noun Project
музыка,music,https://static.thenounproject.com/png/111-200.png,creative-commons-attribution,Music by Edward Boatman from Noun Project
поле,field,https://static.thenounproject.com/png/44114-200.png,creative-commons-attribution,field by Ryan Reid from Noun Project
тип,"type, sort, kind",https://static.thenounproject.com/png/60836-200.png,creative-commons-attribution,type by Marek Polakovic from Noun Project
радость,"joy, happiness",https://static.thenounproject.com/png/154219-200.png,creative-commons-attribution,joy by WARPAINT Media Inc. from Noun Project
цена,"price, cost",https://static.thenounproject.com/png/104115-200.png,creative-commons-attribution,price by Mourad Mokrane from Noun Project
правительство,government,https://static.thenounproject.com/png/40293-200.png,creative-commons-attribution,Government by Nick Abrams from Noun Project
название,"name, title (of things)",https://static.thenounproject.com/png/1736321-200.png,creative-commons-attribution,name by Xela Ub from Noun Project
пример,example,https://static.thenounproject.com/png/624768-200.png,creative-commons-attribution,example by Chris Homan from Noun Project
бабушка,"grandmother, grandma, old lady",https://static.thenounproject.com/png/59790-200.png,creative-commons-attribution,grandmother by Snehal Patil from Noun Project
вино,wine,https://static.thenounproject.com/png/332-200.png,creative-commons-attribution,Wine by Edward Boatman from Noun Project
папа,"dad, daddy, papa, father",https://static.thenounproject.com/png/63386-200.png,creative-commons-attribution,dad by Tomek Wołoszyn from Noun Project
птица,bird,https://static.thenounproject.com/png/5935-200.png,creative-commons-attribution,Bird by Bram van Rijen from Noun Project
зима,winter,https://static.thenounproject.com/png/62575-200.png,creative-commons-attribution,Winter by Yazmin Alanis from Noun Project
километр,kilometer,https://static.thenounproject.com/png/14694-200.png,creative-commons-attribution,Road by Erbil Sivaslioglu from Noun Project
детство,childhood,https://static.thenounproject.com/png/3036572-200.png,creative-commons-attribution,childhood by Viral faisalovers from Noun Project
остров,island,https://static.thenounproject.com/png/16711-200.png,creative-commons-attribution,island by Bohdan Burmich from Noun Project
статья,article,https://static.thenounproject.com/png/2754-200.png,creative-commons-attribution,article by P.J. Onori from Noun Project
водка,vodka,https://static.thenounproject.com/png/171483-200.png,creative-commons-attribution,vodka by Andrey Vasiliev from Noun Project
станция,station,https://static.thenounproject.com/png/209496-200.png,creative-commons-attribution,station by Guillaume Duchayne from Noun Project
команда,team,https://static.thenounproject.com/png/1016-200.png,creative-commons-attribution,team by Luke Anthony Firth from Noun Project
район,"neighborhood, area",https://static.thenounproject.com/png/12236-200.png,creative-commons-attribution,neighborhood by MRFA from Noun Project
знак,"sign, symbol, character",https://static.thenounproject.com/png/10641-200.png,creative-commons-attribution,Sign by Alex Fuller from Noun Project
стакан,"glass, cup",https://static.thenounproject.com/png/7164-200.png,creative-commons-attribution,glass by Renee Ramsey-Passmore from Noun Project
рот,mouth,https://static.thenounproject.com/png/29758-200.png,creative-commons-attribution,mouth by roger castillejo olan from Noun Project
пора,"time, it’s time to",https://static.thenounproject.com/png/6731-200.png,creative-commons-attribution,Time by Richard de Vos from Noun Project
одежда,"clothes, clothing",https://static.thenounproject.com/png/16913-200.png,creative-commons-attribution,Clothes by Timur Zima from Noun Project
тема,"theme, topic, the old information in a sentence",https://static.thenounproject.com/png/396505-200.png,creative-commons-attribution,theme by icon 54 from Noun Project
искусство,art,https://static.thenounproject.com/png/33010-200.png,creative-commons-attribution,Art by anson nguyen from Noun Project
здание,building,https://static.thenounproject.com/png/921-200.png,creative-commons-attribution,building by Benoît Champy from Noun Project
ужас,"terror, horror",https://static.thenounproject.com/png/652022-200.png,creative-commons-attribution,terror by corpus delicti from Noun Project
материал,material,https://static.thenounproject.com/png/8443-200.png,creative-commons-attribution,Material by Arthur Schmitt from Noun Project
шум,noise,https://static.thenounproject.com/png/189851-200.png,creative-commons-attribution,noise by Philipp Lehmann from Noun Project
тетя,aunt,https://static.thenounproject.com/png/2809313-200.png,creative-commons-attribution,aunt by Erik Arndt from Noun Project
доллар,dollar,https://static.thenounproject.com/png/4037-200.png,creative-commons-attribution,dollar by Ugur Akdemir from Noun Project
инженер,engineer,https://static.thenounproject.com/png/21347-200.png,creative-commons-attribution,engineer by Yarden Gilboa from Noun Project
программа,program,https://static.thenounproject.com/png/106453-200.png,creative-commons-attribution,program by Juan Pablo Bravo from Noun Project
костюм,"suit, costume",https://static.thenounproject.com/png/4616-200.png,creative-commons-attribution,suit by A M from Noun Project
журнал,magazine,https://static.thenounproject.com/png/6113-200.png,creative-commons-attribution,magazine by Thomas Le Bas from Noun Project
стихи,"verse, poem, poetry",https://static.thenounproject.com/png/4344500-200.png,creative-commons-attribution,verse by Jordy Madueño from Noun Project
ключ,key,https://static.thenounproject.com/png/311-200.png,creative-commons-attribution,Key by Edward Boatman from Noun Project
черт,devil,https://static.thenounproject.com/png/5831-200.png,creative-commons-attribution,Devil by Luis Prado from Noun Project
культура,culture,https://static.thenounproject.com/png/568858-200.png,creative-commons-attribution,Culture by Luka Purgar from Noun Project
фильм,"film, movie",https://static.thenounproject.com/png/120-200.png,creative-commons-attribution,Film by Edward Boatman from Noun Project
труба,"pipe, duct, trumpet",https://static.thenounproject.com/png/1496-200.png,creative-commons-attribution,pipe by Iconic from Noun Project
весна,spring,https://static.thenounproject.com/png/9430-200.png,creative-commons-attribution,spring by Alex Muir from Noun Project
обед,"lunch, dinner, main meal of day, formal meal",https://static.thenounproject.com/png/19158-200.png,creative-commons-attribution,lunch by Ainsley Wagoner from Noun Project
значение,"meaning, significance",https://static.thenounproject.com/png/45188-200.png,creative-commons-attribution,Information by Luis Prado from Noun Project
фотография,"photograph, photo, picture",https://static.thenounproject.com/png/43737-200.png,creative-commons-attribution,Photograph by Joey Golaw from Noun Project
успех,success,https://static.thenounproject.com/png/148445-200.png,creative-commons-attribution,success by Lil Squid from Noun Project
Германия,Germany,https://static.thenounproject.com/png/10254-200.png,creative-commons-attribution,germany by Maximilian Becker from Noun Project
фирма,"firm, company, business",https://static.thenounproject.com/png/1383294-200.png,creative-commons-attribution,firm by Vectors Market from Noun Project
организация,organization,https://static.thenounproject.com/png/111847-200.png,creative-commons-attribution,organization by Nick Abrams from Noun Project
ошибка,mistake,https://static.thenounproject.com/png/1890837-200.png,creative-commons-attribution,mistake by Alice Design from Noun Project
фраза,phrase,https://static.thenounproject.com/png/3858359-200.png,creative-commons-attribution,phrase by WEBTECHOPS LLP from Noun Project
рынок,"market, farmer’s market",https://static.thenounproject.com/png/120088-200.png,creative-commons-attribution,market by gzz from Noun Project
шутка,joke,https://static.thenounproject.com/png/30623-200.png,creative-commons-attribution,joke by Myles McCoy from Noun Project
родина,"homeland, native land, fatherland",https://static.thenounproject.com/png/223315-200.png,creative-commons-attribution,Hungary flag by Xinh Studio from Noun Project
страница,page,https://static.thenounproject.com/png/50819-200.png,creative-commons-attribution,page by Richard Schumann from Noun Project
секретарь,"secretary, administrative assistant",https://static.thenounproject.com/png/40144-200.png,creative-commons-attribution,secretary by Wojciech Zasina from Noun Project
Америка,"America, USA, US",https://static.thenounproject.com/png/16699-200.png,creative-commons-attribution,America by Bohdan Burmich from Noun Project
сигарета,cigarette,https://static.thenounproject.com/png/11818-200.png,creative-commons-attribution,Cigarette by Sebastian Langer from Noun Project
пиво,beer,https://static.thenounproject.com/png/593-200.png,creative-commons-attribution,Beer by Edward Boatman from Noun Project
