Russian,English,icon_url,license_description,attribution
продукт,groceries,https://static.thenounproject.com/png/301098-200.png,creative-commons-attribution,groceries by Giuditta Valentina Gentile from Noun Project
книжка,"booklet, little book, book (dim.)",https://static.thenounproject.com/png/1849-200.png,creative-commons-attribution,Booklet by Dara Ullrich from Noun Project
диван,"couch, sofa",https://static.thenounproject.com/png/10737-200.png,creative-commons-attribution,Couch by Nathan Thomson from Noun Project
кошка,cat,https://static.thenounproject.com/png/840-200.png,creative-commons-attribution,Cat by Marie Coons from Noun Project
Европа,Europe,https://static.thenounproject.com/png/1563-200.png,creative-commons-attribution,europe by Thibault Geffroy from Noun Project
планета,planet,https://static.thenounproject.com/png/792-200.png,creative-commons-attribution,Planet by Toke Frello from Noun Project
доска,"chalkboard, board",https://static.thenounproject.com/png/5458-200.png,creative-commons-attribution,Chalkboard by Vitor Levi da Silveira from Noun Project
актер,actor,https://static.thenounproject.com/png/1547-200.png,creative-commons-attribution,Actor by Jonathan C. Dietrich from Noun Project
потолок,ceiling,https://static.thenounproject.com/png/280883-200.png,creative-commons-attribution,ceiling by YuguDesign from Noun Project
постель,"bed, bedding (sheets and blankets)",https://static.thenounproject.com/png/1072-200.png,creative-commons-attribution,Bed by Christopher T. Howlett from Noun Project
сумка,"bag, purse, handbag",https://static.thenounproject.com/png/11197-200.png,creative-commons-attribution,bag by John Caserta from Noun Project
праздник,"holiday, festival",https://static.thenounproject.com/png/98743-200.png,creative-commons-attribution,holiday by Theresa Berens from Noun Project
мост,bridge,https://static.thenounproject.com/png/1798-200.png,creative-commons-attribution,bridge by Chad Wimberly from Noun Project
энергия,energy,https://static.thenounproject.com/png/478-200.png,creative-commons-attribution,Energy by Edward Boatman from Noun Project
звонок,"phone call, ring (bell)",https://static.thenounproject.com/png/43829-200.png,creative-commons-attribution,phone call by Claire Jones from Noun Project
кино,"movie theater, cinema, movies",https://static.thenounproject.com/png/68827-200.png,creative-commons-attribution,movie theater by iconsmind.com from Noun Project
адрес,address,https://static.thenounproject.com/png/55488-200.png,creative-commons-attribution,Address by Richard Cordero from Noun Project
текст,"text, lyrics",https://static.thenounproject.com/png/8326-200.png,creative-commons-attribution,text by henrik lund mikkelsen from Noun Project
дедушка,"grandfather, grandpa",https://static.thenounproject.com/png/59788-200.png,creative-commons-attribution,grandfather by Snehal Patil from Noun Project
масло,"butter, oil",https://static.thenounproject.com/png/13442-200.png,creative-commons-attribution,"butter by Tom Glass, Jr. from Noun Project"
рождение,birth,https://static.thenounproject.com/png/293848-200.png,creative-commons-attribution,Birth by Marie Van den Broeck from Noun Project
песня,song,https://static.thenounproject.com/png/323184-200.png,creative-commons-attribution,song by Ivan Luiz from Noun Project
осень,"fall, autumn",https://static.thenounproject.com/png/53745-200.png,creative-commons-attribution,fall by Patrick Trouvé from Noun Project
платье,dress,https://static.thenounproject.com/png/3603-200.png,creative-commons-attribution,dress by Desbenoit from Noun Project
вход,"entrance, way in",https://static.thenounproject.com/png/2276-200.png,creative-commons-attribution,entrance by Pedro Lalli from Noun Project
ручка,"pen, hand (dim.), handle, arm (of furniture)",https://static.thenounproject.com/png/1263-200.png,creative-commons-attribution,Pen by Ethan Clark from Noun Project
хозяйка,"owner, landlady, hostess",https://static.thenounproject.com/png/545538-200.png,creative-commons-attribution,owner by Doub.co from Noun Project
дворец,palace,https://static.thenounproject.com/png/25170-200.png,creative-commons-attribution,Palace by Ana Amorim from Noun Project
урок,"lesson, class (school, general)",https://static.thenounproject.com/png/269257-200.png,creative-commons-attribution,lesson by Cagri Yurtbasi from Noun Project
поиск,search,https://static.thenounproject.com/png/9873-200.png,creative-commons-attribution,Search by Phil Goodwin from Noun Project
озеро,lake,https://static.thenounproject.com/png/16107-200.png,creative-commons-attribution,Lake by Pieter J. Smits from Noun Project
чемодан,suitcase,https://static.thenounproject.com/png/448-200.png,creative-commons-attribution,Suitcase by Edward Boatman from Noun Project
родственник,relative,https://static.thenounproject.com/png/2526265-200.png,creative-commons-attribution,relative by DailyPM from Noun Project
грязь,"dirt, mud",https://static.thenounproject.com/png/40825-200.png,creative-commons-attribution,dirt by artworkbean from Noun Project
экран,screen,https://static.thenounproject.com/png/40729-200.png,creative-commons-attribution,screen by Kaique Amorim from Noun Project
молоко,milk,https://static.thenounproject.com/png/380-200.png,creative-commons-attribution,Milk by Edward Boatman from Noun Project
предложение,"sentence, proposal, suggestion",https://static.thenounproject.com/png/684241-200.png,creative-commons-attribution,sentence by Bernar Novalyi from Noun Project
среда,"Wednesday, environment, surroundings",https://static.thenounproject.com/png/3971153-200.png,creative-commons-attribution,wednesday by Adrien Coquet from Noun Project
температура,"temperature, fever",https://static.thenounproject.com/png/177-200.png,creative-commons-attribution,Temperature by Edward Boatman from Noun Project
подарок,"gift, present",https://static.thenounproject.com/png/8944-200.png,creative-commons-attribution,Gift by Cris Dobbins from Noun Project
штука,"item, thing",https://static.thenounproject.com/png/834789-200.png,creative-commons-attribution,item by DinosoftLab from Noun Project
дача,"country house, dacha",https://static.thenounproject.com/png/281403-200.png,creative-commons-attribution,country house by Vectors Market from Noun Project
портрет,portrait,https://static.thenounproject.com/png/10639-200.png,creative-commons-attribution,portrait by Alex Fuller from Noun Project
шкаф,"cabinet, wardrobe, shelving unit",https://static.thenounproject.com/png/34011-200.png,creative-commons-attribution,Cabinet by Mister Pixel from Noun Project
куртка,"jacket, coat (light or heavy, but short in length)",https://static.thenounproject.com/png/1556-200.png,creative-commons-attribution,Jacket by Toni Valdés Medina from Noun Project
Париж,Paris,https://static.thenounproject.com/png/36683-200.png,creative-commons-attribution,Paris by Fabien Jouin from Noun Project
рубашка,"button-down shirt, men's shirt",https://static.thenounproject.com/png/709617-200.png,creative-commons-attribution,Button Down Shirt by Aleksandra Susnica from Noun Project
шапка,"cap, hat (like a warm winter hat)",https://static.thenounproject.com/png/1179-200.png,creative-commons-attribution,Cap by Olivier Guin from Noun Project
журналист,journalist,https://static.thenounproject.com/png/535374-200.png,creative-commons-attribution,journalist by Bonegolem from Noun Project
подъезд,"entryway, entrance (to an apartment building)",https://static.thenounproject.com/png/2993190-200.png,creative-commons-attribution,entryway by Rahmat Hidayat from Noun Project
середина,middle,https://static.thenounproject.com/png/101508-200.png,creative-commons-attribution,middle by Muneer A.Safiah from Noun Project
разница,difference,https://static.thenounproject.com/png/118155-200.png,creative-commons-attribution,difference by Ribbla Team from Noun Project
политика,"politics, policy",https://static.thenounproject.com/png/150137-200.png,creative-commons-attribution,politics by Lilit Kalachyan from Noun Project
теория,theory,https://static.thenounproject.com/png/2300636-200.png,creative-commons-attribution,theory by Made x Made from Noun Project
выбор,"choice, selection (sg)",https://static.thenounproject.com/png/86701-200.png,creative-commons-attribution,choice by Kirill Ulitin from Noun Project
пиджак,"blazer, sportscoat",https://static.thenounproject.com/png/58178-200.png,creative-commons-attribution,blazer by Ben Biondo from Noun Project
тарелка,plate,https://static.thenounproject.com/png/1059-200.png,creative-commons-attribution,Plate by Asia Smolonska from Noun Project
подруга,"girlfriend, female friend",https://static.thenounproject.com/png/320976-200.png,creative-commons-attribution,Girlfriend by lastspark from Noun Project
техника,"technology, technological equipment",https://static.thenounproject.com/png/77536-200.png,creative-commons-attribution,Technology by Chris Keithley from Noun Project
дочка,daughter,https://static.thenounproject.com/png/59791-200.png,creative-commons-attribution,daughter by Snehal Patil from Noun Project
проект,project,https://static.thenounproject.com/png/21345-200.png,creative-commons-attribution,Project by Kevin Laity from Noun Project
паспорт,passport,https://static.thenounproject.com/png/4724-200.png,creative-commons-attribution,Passport by Catia Marsh Mallow from Noun Project
коллега,colleague,https://static.thenounproject.com/png/1217086-200.png,creative-commons-attribution,colleague by Made by Made from Noun Project
коммунист,communist,https://static.thenounproject.com/png/1721368-200.png,creative-commons-attribution,communist by P Thanga Vignesh from Noun Project
просьба,request,https://static.thenounproject.com/png/540038-200.png,creative-commons-attribution,request by Gregor Cresnar from Noun Project
полчаса,half hour,https://static.thenounproject.com/png/237544-200.png,creative-commons-attribution,half hour by icon 54 from Noun Project
сказка,fairy tale,https://static.thenounproject.com/png/629801-200.png,creative-commons-attribution,fairy tale by MRFA from Noun Project
молодец,"good job, smart fellow",https://static.thenounproject.com/png/1294509-200.png,creative-commons-attribution,good job by Maxim Basinski from Noun Project
океан,ocean,https://static.thenounproject.com/png/155793-200.png,creative-commons-attribution,Ocean by Ema Dimitrova from Noun Project
пачка,"pack, packet, bag",https://static.thenounproject.com/png/100426-200.png,creative-commons-attribution,pack by Martin Vanco from Noun Project
поездка,trip,https://static.thenounproject.com/png/260650-200.png,creative-commons-attribution,trip by Xinh Studio from Noun Project
август,August,https://static.thenounproject.com/png/191330-200.png,creative-commons-attribution,Summer by Jason Gray from Noun Project
брюки,pants,https://static.thenounproject.com/png/3310-200.png,creative-commons-attribution,pants by Maurizio Fusillo from Noun Project
пальто,"coat, trenchcoat, long coat, overcoat",https://static.thenounproject.com/png/3317-200.png,creative-commons-attribution,coat by Maurizio Fusillo from Noun Project
экономика,"economics, economy",https://static.thenounproject.com/png/615480-200.png,creative-commons-attribution,economics by Davo Sime from Noun Project
талант,talent,https://static.thenounproject.com/png/649048-200.png,creative-commons-attribution,talent by MRFA from Noun Project
канал,"channel, canal",https://static.thenounproject.com/png/342343-200.png,creative-commons-attribution,channel by S Madsen from Noun Project
октябрь,October,https://static.thenounproject.com/png/2212177-200.png,creative-commons-attribution,october by Made from Noun Project
храм,"temple, church, cathedral",https://static.thenounproject.com/png/2364-200.png,creative-commons-attribution,temple by Tucker Bucker from Noun Project
корпус,"building, unit (of a multi-unit apartment complex)",https://static.thenounproject.com/png/921-200.png,creative-commons-attribution,building by Benoît Champy from Noun Project
компьютер,computer,https://static.thenounproject.com/png/115-200.png,creative-commons-attribution,Computer by Edward Boatman from Noun Project
секрет,secret,https://static.thenounproject.com/png/71679-200.png,creative-commons-attribution,Secret by iconsmind.com from Noun Project
привет,"greetings, hi",https://static.thenounproject.com/png/18492-200.png,creative-commons-attribution,Greetings by Edward Boatman from Noun Project
профессия,"profession, job",https://static.thenounproject.com/png/751401-200.png,creative-commons-attribution,profession by zidney from Noun Project
старушка,old woman,https://static.thenounproject.com/png/209213-200.png,creative-commons-attribution,old woman by Rodolfo Alvarez from Noun Project
гриб,mushroom,https://static.thenounproject.com/png/309-200.png,creative-commons-attribution,Mushroom by Edward Boatman from Noun Project
погода,weather,https://static.thenounproject.com/png/6495-200.png,creative-commons-attribution,weather by Mateo Zlatar from Noun Project
Израиль,Israel,https://static.thenounproject.com/png/22316-200.png,creative-commons-attribution,israel by Vincens von Bibra from Noun Project
ложка,spoon,https://static.thenounproject.com/png/341-200.png,creative-commons-attribution,Spoon by Edward Boatman from Noun Project
баня,"bath, bathhouse, sauna",https://static.thenounproject.com/png/26805-200.png,creative-commons-attribution,Bath by Kristin McPeak from Noun Project
ужин,"dinner, supper, light evening meal",https://static.thenounproject.com/png/18211-200.png,creative-commons-attribution,dinner by Edward Boatman from Noun Project
март,March,https://static.thenounproject.com/png/3466853-200.png,creative-commons-attribution,march by Artileri Icon from Noun Project
инструмент,"instrument, tool",https://static.thenounproject.com/png/294495-200.png,creative-commons-attribution,instrument by Vectors Market from Noun Project
задание,"assignment, task",https://static.thenounproject.com/png/51139-200.png,creative-commons-attribution,Assignment by Laurène Smith from Noun Project
отдых,"rest, relaxation",https://static.thenounproject.com/png/111500-200.png,creative-commons-attribution,rest by gzz from Noun Project
яблоко,apple,https://static.thenounproject.com/png/640-200.png,creative-commons-attribution,Apple by Edward Boatman from Noun Project
путешествие,"travel, journey",https://static.thenounproject.com/png/8224-200.png,creative-commons-attribution,Travel by Lemon Liu from Noun Project
традиция,tradition,https://static.thenounproject.com/png/3857021-200.png,creative-commons-attribution,tradition by WEBTECHOPS LLP from Noun Project
Франция,France,https://static.thenounproject.com/png/5536-200.png,creative-commons-attribution,France by Olivier Guin from Noun Project
американец,American,https://static.thenounproject.com/png/589998-200.png,creative-commons-attribution,American by Hea Poh Lin from Noun Project
яйцо,egg,https://static.thenounproject.com/png/686-200.png,creative-commons-attribution,Egg by Edward Boatman from Noun Project
тетка,"lady, woman (coll.)",https://static.thenounproject.com/png/136719-200.png,creative-commons-attribution,Lady by Peacock Dream from Noun Project
деталь,detail,https://static.thenounproject.com/png/408474-200.png,creative-commons-attribution,detail by Viktor Vorobyev from Noun Project
контакт,contact,https://static.thenounproject.com/png/6380-200.png,creative-commons-attribution,contact by Johan H. W. Basberg from Noun Project
шеф,boss,https://static.thenounproject.com/png/30891-200.png,creative-commons-attribution,boss by Артур Абт from Noun Project
Петербург,Petersburg,https://static.thenounproject.com/png/543298-200.png,creative-commons-attribution,St-Petersburg by icon 54 from Noun Project
Санкт-Петербург,St. Petersburg,https://static.thenounproject.com/png/1075004-200.png,creative-commons-attribution,St. Petersburg by Befoolish from Noun Project
гений,genius,https://static.thenounproject.com/png/55846-200.png,creative-commons-attribution,genius by Daniele Catalanotto from Noun Project
передача,"broadcast, program, show",https://static.thenounproject.com/png/65531-200.png,creative-commons-attribution,broadcast by Hello Many from Noun Project
декабрь,December,https://static.thenounproject.com/png/1392765-200.png,creative-commons-attribution,december by mungang kim from Noun Project
лук,onion,https://static.thenounproject.com/png/2334-200.png,creative-commons-attribution,onion by Jakob Vogel from Noun Project
лаборатория,"lab, laboratory",https://static.thenounproject.com/png/98677-200.png,creative-commons-attribution,lab by Bin Hur from Noun Project
ноябрь,November,https://static.thenounproject.com/png/2508258-200.png,creative-commons-attribution,november by Jonathan Bellamy from Noun Project
лев,lion,https://static.thenounproject.com/png/10419-200.png,creative-commons-attribution,Lion by Arturo Alejandro Romo Escartin from Noun Project
стиль,style,https://static.thenounproject.com/png/1066271-200.png,creative-commons-attribution,style by DinosoftLab from Noun Project
май,May,https://static.thenounproject.com/png/148423-200.png,creative-commons-attribution,Melolontha by Arthur Shlain from Noun Project
сентябрь,September,https://static.thenounproject.com/png/28335-200.png,creative-commons-attribution,Labor Day by Amos Meron from Noun Project
завтрак,breakfast,https://static.thenounproject.com/png/10649-200.png,creative-commons-attribution,Breakfast by Natalie Doud from Noun Project
альбом,album,https://static.thenounproject.com/png/7233-200.png,creative-commons-attribution,Album by Taulant Sulko from Noun Project
концерт,concert,https://static.thenounproject.com/png/152418-200.png,creative-commons-attribution,concert by Massimiliano Mauro from Noun Project
модель,"model, example",https://static.thenounproject.com/png/37783-200.png,creative-commons-attribution,model by Claire Jones from Noun Project
возвращение,return,https://static.thenounproject.com/png/56314-200.png,creative-commons-attribution,return by Arthur Shlain from Noun Project
идиот,idiot,https://static.thenounproject.com/png/770852-200.png,creative-commons-attribution,idiot by Gregor Cresnar from Noun Project
лекция,lecture,https://static.thenounproject.com/png/55263-200.png,creative-commons-attribution,lecture by Peter Hayward from Noun Project
республика,republic,https://static.thenounproject.com/png/430924-200.png,creative-commons-attribution,republic by Clément Payot from Noun Project
портфель,briefcase,https://static.thenounproject.com/png/401-200.png,creative-commons-attribution,Briefcase by Edward Boatman from Noun Project
виза,visa,https://static.thenounproject.com/png/348531-200.png,creative-commons-attribution,Visa by Nakul Dhaka from Noun Project
карандаш,pencil,https://static.thenounproject.com/png/347-200.png,creative-commons-attribution,Pencil by Edward Boatman from Noun Project
принц,prince,https://static.thenounproject.com/png/441288-200.png,creative-commons-attribution,prince by Einxel Reyes from Noun Project
иностранец,foreigner,https://static.thenounproject.com/png/1034015-200.png,creative-commons-attribution,foreigner by Gan Khoon Lay from Noun Project
галстук,"tie, necktie",https://static.thenounproject.com/png/409-200.png,creative-commons-attribution,Tie by Edward Boatman from Noun Project
скандал,"scandal, row (Br)",https://static.thenounproject.com/png/28198-200.png,creative-commons-attribution,Document Leak by Dan Hetteix from Noun Project
дура,"fool, idiot",https://static.thenounproject.com/png/817784-200.png,creative-commons-attribution,fool by Ben Davis from Noun Project
агент,agent,https://static.thenounproject.com/png/86257-200.png,creative-commons-attribution,agent by Iris Li from Noun Project
январь,January,https://static.thenounproject.com/png/28328-200.png,creative-commons-attribution,New Year's Day by Amos Meron from Noun Project
свидание,"date, meeting",https://static.thenounproject.com/png/43212-200.png,creative-commons-attribution,date by iconoci from Noun Project
кролик,rabbit,https://static.thenounproject.com/png/1967-200.png,creative-commons-attribution,Rabbit by Gina Rafaella Furnari from Noun Project
политик,politician,https://static.thenounproject.com/png/24402-200.png,creative-commons-attribution,politician by Benoît Champy from Noun Project
мода,"fashion, style",https://static.thenounproject.com/png/79150-200.png,creative-commons-attribution,fashion by Vicons Design from Noun Project
июнь,June,https://static.thenounproject.com/png/191330-200.png,creative-commons-attribution,Summer by Jason Gray from Noun Project
музыкант,musician,https://static.thenounproject.com/png/12415-200.png,creative-commons-attribution,musician by Sebastian Langer from Noun Project
экзамен,"test, exam",https://static.thenounproject.com/png/84093-200.png,creative-commons-attribution,test by ChangHoon Baek from Noun Project
скамейка,"bench, park bench",https://static.thenounproject.com/png/7219-200.png,creative-commons-attribution,bench by Creatorid'immagine from Noun Project
сахар,sugar,https://static.thenounproject.com/png/2335-200.png,creative-commons-attribution,sugar by Jakob Vogel from Noun Project
социализм,socialism,https://static.thenounproject.com/png/3310527-200.png,creative-commons-attribution,socialism by Azam Ishaq from Noun Project
туалет,"restroom, toilet",https://static.thenounproject.com/png/94429-200.png,creative-commons-attribution,Restroom by Janina Aritao from Noun Project
оценка,"grade, mark, assessment",https://static.thenounproject.com/png/39005-200.png,creative-commons-attribution,grade by Ben Markoch from Noun Project
цивилизация,civilization,https://static.thenounproject.com/png/2581939-200.png,creative-commons-attribution,civilization by Eucalyp from Noun Project
колбаса,sausage,https://static.thenounproject.com/png/4135-200.png,creative-commons-attribution,Sausage by Jacob Halton from Noun Project
каша,"kasha, hot cereal",https://static.thenounproject.com/png/102153-200.png,creative-commons-attribution,rice by Mourad Mokrane from Noun Project
турист,tourist,https://static.thenounproject.com/png/12751-200.png,creative-commons-attribution,tourist by Javier Cabezas from Noun Project
блюдо,"dish, course (entree or dishes)",https://static.thenounproject.com/png/35826-200.png,creative-commons-attribution,dish by Mister Pixel from Noun Project
демократия,democracy,https://static.thenounproject.com/png/26330-200.png,creative-commons-attribution,democracy by Leonard Ellom Quist from Noun Project
носок,sock,https://static.thenounproject.com/png/1047-200.png,creative-commons-attribution,Sock by Proletkult Graphik from Noun Project
Китай,China,https://static.thenounproject.com/png/1968-200.png,creative-commons-attribution,China by Luke Anthony Firth from Noun Project
суббота,Saturday,https://static.thenounproject.com/png/3971155-200.png,creative-commons-attribution,saturday by Adrien Coquet from Noun Project
воскресенье,Sunday,https://static.thenounproject.com/png/2007435-200.png,creative-commons-attribution,sunday by Linker from Noun Project
Корея,Korea,https://static.thenounproject.com/png/40836-200.png,creative-commons-attribution,korea by gira Park from Noun Project
рисунок,drawing,https://static.thenounproject.com/png/3103-200.png,creative-commons-attribution,drawing by Daniel Shannon from Noun Project
плюс,plus,https://static.thenounproject.com/png/950-200.png,creative-commons-attribution,Plus by Andre from Noun Project
транспорт,"transport, transportation",https://static.thenounproject.com/png/344037-200.png,creative-commons-attribution,transport by Amandine Vandesteene from Noun Project
чашка,"cup, teacup",https://static.thenounproject.com/png/1163-200.png,creative-commons-attribution,Cup by Brandon Hopkins from Noun Project
спектакль,"show, performance",https://static.thenounproject.com/png/111436-200.png,creative-commons-attribution,show by gzz from Noun Project
сок,juice,https://static.thenounproject.com/png/15828-200.png,creative-commons-attribution,juice by Joe Harrison from Noun Project
майка,"tank top, sleeveless t-shirt",https://static.thenounproject.com/png/8319-200.png,creative-commons-attribution,Tank Top by Uriel Sosa from Noun Project
общежитие,"dorm, dormitory",https://static.thenounproject.com/png/321262-200.png,creative-commons-attribution,dorm by Ben Davis from Noun Project
физика,physics,https://static.thenounproject.com/png/24077-200.png,creative-commons-attribution,physics by Ilsur Aptukov from Noun Project
сочинение,"essay, composition",https://static.thenounproject.com/png/485557-200.png,creative-commons-attribution,essay by Gregor Cresnar from Noun Project
пляж,beach,https://static.thenounproject.com/png/19383-200.png,creative-commons-attribution,beach by Dave Larsen from Noun Project
спальня,bedroom,https://static.thenounproject.com/png/50453-200.png,creative-commons-attribution,bedroom by Chuck Spidell from Noun Project
игрушка,toy,https://static.thenounproject.com/png/142760-200.png,creative-commons-attribution,Toy by Sergey Demushkin from Noun Project
эксперимент,experiment,https://static.thenounproject.com/png/22264-200.png,creative-commons-attribution,experiment by Icons Pusher from Noun Project
Англия,England,https://static.thenounproject.com/png/6419-200.png,creative-commons-attribution,England by Luke Anthony Firth from Noun Project
адвокат,"lawyer, attorney",https://static.thenounproject.com/png/10320-200.png,creative-commons-attribution,Lawyer by Miroslav KURDOV from Noun Project
апрель,April,https://static.thenounproject.com/png/2125250-200.png,creative-commons-attribution,april by ibrandify from Noun Project
практика,practice,https://static.thenounproject.com/png/1196711-200.png,creative-commons-attribution,practice by goyacommae from Noun Project
юбка,skirt,https://static.thenounproject.com/png/3314-200.png,creative-commons-attribution,Skirt by Maurizio Fusillo from Noun Project
цирк,circus,https://static.thenounproject.com/png/3213-200.png,creative-commons-attribution,circus by Douglas Radecki from Noun Project
образец,"example, model",https://static.thenounproject.com/png/624768-200.png,creative-commons-attribution,example by Chris Homan from Noun Project
июль,July,https://static.thenounproject.com/png/61858-200.png,creative-commons-attribution,Fireworks by James Keuning from Noun Project
напиток,"drink, beverage",https://static.thenounproject.com/png/2578-200.png,creative-commons-attribution,Drink by Alessandro Suraci from Noun Project
юмор,humor,https://static.thenounproject.com/png/1279877-200.png,creative-commons-attribution,humor by Atif Arshad from Noun Project
чтение,"reading, reading selection",https://static.thenounproject.com/png/6548-200.png,creative-commons-attribution,Reading by Murat Yalcin from Noun Project
Берлин,Berlin,https://static.thenounproject.com/png/36681-200.png,creative-commons-attribution,berlin by Fabien Jouin from Noun Project
Сибирь,Siberia,https://static.thenounproject.com/png/3099793-200.png,creative-commons-attribution,Siberia by Joel Wisneski from Noun Project
интервью,interview,https://static.thenounproject.com/png/9712-200.png,creative-commons-attribution,interview by Sarah Abraham from Noun Project
гараж,garage,https://static.thenounproject.com/png/990-200.png,creative-commons-attribution,Garage by Stanislav Goncharov from Noun Project
риск,risk,https://static.thenounproject.com/png/152652-200.png,creative-commons-attribution,risk by Arthur Shlain from Noun Project
англичанин,"Englishman, Englishwoman",https://static.thenounproject.com/png/26181-200.png,creative-commons-attribution,Englishman by Daniel Turner from Noun Project
командировка,business trip,https://static.thenounproject.com/png/387429-200.png,creative-commons-attribution,business trip by Alfredo @ IconsAlfredo.com from Noun Project
КГБ,KGB,https://static.thenounproject.com/png/55173-200.png,creative-commons-attribution,Vladimir Putin by Rémi Mercier from Noun Project
прогресс,progress,https://static.thenounproject.com/png/85871-200.png,creative-commons-attribution,progress by ChangHoon Baek from Noun Project
реклама,"advertisement, commercial",https://static.thenounproject.com/png/51135-200.png,creative-commons-attribution,advertisement by Laurène Smith from Noun Project
проспект,"avenue, boulevard (wide main street)",https://static.thenounproject.com/png/1941488-200.png,creative-commons-attribution,avenue by Adrien Coquet from Noun Project
китаец,Chinese,https://static.thenounproject.com/png/24859-200.png,creative-commons-attribution,chinese by Slawek Jurczyk from Noun Project
космос,"space, outer space",https://static.thenounproject.com/png/198338-200.png,creative-commons-attribution,Space by Andrey Vasiliev from Noun Project
Италия,Italy,https://static.thenounproject.com/png/22654-200.png,creative-commons-attribution,Italy by Ted Grajeda from Noun Project
полдень,noon,https://static.thenounproject.com/png/545562-200.png,creative-commons-attribution,noon by Doub.co from Noun Project
выставка,"exhibit, exhibition",https://static.thenounproject.com/png/220933-200.png,creative-commons-attribution,exhibit by Mikhail Listopadov from Noun Project
перчатка,glove,https://static.thenounproject.com/png/16682-200.png,creative-commons-attribution,glove by Effach from Noun Project
дата,date,https://static.thenounproject.com/png/43212-200.png,creative-commons-attribution,date by iconoci from Noun Project
февраль,February,https://static.thenounproject.com/png/2753262-200.png,creative-commons-attribution,february by Zach Bogart from Noun Project
категория,category,https://static.thenounproject.com/png/6670-200.png,creative-commons-attribution,Category by Doub.co from Noun Project
биография,biography,https://static.thenounproject.com/png/95704-200.png,creative-commons-attribution,Biography by Arthur Shlain from Noun Project
Лондон,London,https://static.thenounproject.com/png/36682-200.png,creative-commons-attribution,london by Fabien Jouin from Noun Project
велосипед,"bicycle, bike",https://static.thenounproject.com/png/54-200.png,creative-commons-attribution,Bicycle by Edward Boatman from Noun Project
ванна,bathtub,https://static.thenounproject.com/png/47483-200.png,creative-commons-attribution,bathtub by Juan Pablo Bravo from Noun Project
холодильник,refrigerator,https://static.thenounproject.com/png/1859-200.png,creative-commons-attribution,Refrigerator by Dara Ullrich from Noun Project
стихотворение,poem,https://static.thenounproject.com/png/1752991-200.png,creative-commons-attribution,poem by Turkkub from Noun Project
килограмм,kilogram,https://static.thenounproject.com/png/2187737-200.png,creative-commons-attribution,kilogram by Hassan ali from Noun Project
чайник,"teapot, tea kettle",https://static.thenounproject.com/png/678-200.png,creative-commons-attribution,Teapot by Edward Boatman from Noun Project
лыжа,ski,https://static.thenounproject.com/png/8097-200.png,creative-commons-attribution,Ski by Anna Weiss from Noun Project
фрукт,fruit,https://static.thenounproject.com/png/5226-200.png,creative-commons-attribution,Fruit by Mike Rowe from Noun Project
администрация,administration,https://static.thenounproject.com/png/99475-200.png,creative-commons-attribution,Administration by Gerardo Martín Martínez from Noun Project
аппетит,appetite,https://static.thenounproject.com/png/4416155-200.png,creative-commons-attribution,appetite by Andre Buand from Noun Project
шпион,spy,https://static.thenounproject.com/png/29819-200.png,creative-commons-attribution,spy by Dan Hetteix from Noun Project
технология,technology,https://static.thenounproject.com/png/77536-200.png,creative-commons-attribution,Technology by Chris Keithley from Noun Project
незнакомец,stranger,https://static.thenounproject.com/png/168599-200.png,creative-commons-attribution,stranger by Matt Wasser from Noun Project
эпизод,"episode, event",https://static.thenounproject.com/png/3536466-200.png,creative-commons-attribution,episode by IconMark from Noun Project
диск,"disk, CD, compact disc",https://static.thenounproject.com/png/132743-200.png,creative-commons-attribution,disk by Creative Stall from Noun Project
елка,"fir tree, Christmas tree",https://static.thenounproject.com/png/592620-200.png,creative-commons-attribution,fir-tree by Anatoly Dudko from Noun Project
француз,"Frenchman, Frenchwoman",https://static.thenounproject.com/png/23997-200.png,creative-commons-attribution,Frenchman by Gerda More from Noun Project
капуста,cabbage,https://static.thenounproject.com/png/19743-200.png,creative-commons-attribution,Cabbage by Artur Shageyev from Noun Project
